EmployeeID,Department,JobLevel,Location,Age,TenureYears,PerformanceRating,PotentialCategory,MobilityInterest
E0001,Marketing,L3,"Toronto, ON",25,2.4,3,High,Low
E0002,Legal & Compliance,L6,"Calgary, AB",47,0.3,3,High,Low
E0003,Sales,L1,"Ottawa, ON",30,0.3,3,Solid,High
E0004,Sales,L4,"Toronto, ON",51,7.5,5,Solid,Low
E0005,Finance,L4,"Vancouver, BC",48,6.1,3,Developing,High
E0006,Engineering,L1,"Montreal, QC",46,5.8,3,High,Low
E0007,Human Resources,L1,"Calgary, AB",49,6.8,3,Solid,Medium
E0008,Sales,L2,"Toronto, ON",23,7.4,4,High,Medium
E0009,Sales,L3,Remote - Canada,56,1.0,2,Solid,Medium
E0010,Engineering,L2,"Montreal, QC",24,7.7,3,Solid,Medium
E0011,Operations,L6,"Montreal, QC",23,1.8,4,Developing,High
E0012,Human Resources,L4,"Toronto, ON",40,6.3,4,Solid,Medium
E0013,Engineering,L3,"Toronto, ON",32,5.1,4,Solid,Medium
E0014,Finance,L2,"Toronto, ON",42,4.4,4,Solid,Low
E0015,Finance,L3,"Calgary, AB",42,7.4,3,Solid,Medium
E0016,Engineering,L1,"Toronto, ON",46,3.1,3,Solid,High
E0017,Human Resources,L3,"Toronto, ON",44,7.2,4,Solid,Medium
E0018,Operations,L1,Remote - Canada,39,1.6,4,Solid,Medium
E0019,Sales,L3,"Toronto, ON",46,6.7,2,Solid,Medium
E0020,Human Resources,L1,"Montreal, QC",53,0.6,3,Solid,Medium
E0021,Operations,L4,"Vancouver, BC",57,3.6,4,Solid,High
E0022,Sales,L3,"Ottawa, ON",47,2.8,4,High,High
E0023,Human Resources,L1,"Toronto, ON",39,2.4,4,Solid,Medium
E0024,Operations,L3,"Toronto, ON",41,3.7,3,High,Low
E0025,Engineering,L2,"Toronto, ON",26,6.6,3,Solid,Low
E0026,Finance,L3,"Toronto, ON",36,7.8,4,Developing,Low
E0027,Customer Success,L2,"Calgary, AB",40,4.0,3,Solid,High
E0028,Operations,L2,"Vancouver, BC",58,7.6,5,Developing,Low
E0029,Engineering,L3,Remote - Canada,58,4.9,4,Solid,Medium
E0030,Sales,L3,"Montreal, QC",35,1.9,4,High,Medium
E0031,Finance,L2,"Toronto, ON",52,4.1,4,Developing,High
E0032,Sales,L3,"Calgary, AB",37,1.2,3,Solid,Medium
E0033,Legal & Compliance,L5,"Montreal, QC",39,3.1,3,Solid,Low
E0034,Customer Success,L2,"Vancouver, BC",44,10.3,3,Developing,Medium
E0035,Human Resources,L3,"Montreal, QC",33,3.6,2,Solid,Medium
E0036,Human Resources,L2,"Toronto, ON",24,0.8,4,Solid,Low
E0037,Sales,L2,"Vancouver, BC",36,0.3,5,Solid,Medium
E0038,Engineering,L3,"Ottawa, ON",29,4.3,4,Developing,Low
E0039,Finance,L3,"Vancouver, BC",56,4.6,2,Solid,Medium
E0040,Engineering,L4,"Toronto, ON",55,5.9,3,Solid,High
E0041,Engineering,L2,"Toronto, ON",27,6.3,4,Solid,High
E0042,Operations,L1,Remote - Canada,45,1.2,3,High,Medium
E0043,Engineering,L5,"Vancouver, BC",27,6.6,3,Solid,Medium
E0044,Sales,L1,"Toronto, ON",51,5.8,2,Solid,High
E0045,Engineering,L1,"Toronto, ON",52,10.7,2,Developing,Medium
E0046,Engineering,L4,"Vancouver, BC",23,2.9,3,Solid,High
E0047,Human Resources,L4,"Toronto, ON",40,1.9,4,Solid,Medium
E0048,Operations,L2,"Vancouver, BC",49,0.3,3,Developing,Medium
E0049,Sales,L1,Remote - Canada,43,6.5,4,Developing,High
E0050,Human Resources,L3,"Vancouver, BC",34,2.7,5,High,Medium
E0051,Human Resources,L5,"Calgary, AB",58,3.2,4,High,Medium
E0052,Customer Success,L2,"Montreal, QC",54,1.9,3,Solid,Medium
E0053,Sales,L2,"Montreal, QC",44,5.4,4,High,Medium
E0054,Sales,L4,"Vancouver, BC",46,1.9,3,High,Medium
E0055,Engineering,L3,"Toronto, ON",28,4.9,4,Developing,Medium
E0056,Sales,L4,"Calgary, AB",31,0.3,5,Solid,High
E0057,Human Resources,L4,"Vancouver, BC",39,1.2,4,Developing,Medium
E0058,Legal & Compliance,L2,"Montreal, QC",32,5.1,4,Solid,High
E0059,Sales,L1,"Montreal, QC",34,5.9,4,Solid,Medium
E0060,Engineering,L4,"Montreal, QC",42,2.9,3,Developing,Medium
E0061,Human Resources,L4,"Montreal, QC",26,1.7,2,Solid,Low
E0062,Operations,L1,"Calgary, AB",28,2.7,4,Developing,Medium
E0063,Engineering,L2,"Toronto, ON",51,2.5,2,Solid,Medium
E0064,Operations,L2,"Vancouver, BC",32,5.9,2,Solid,High
E0065,Engineering,L3,"Ottawa, ON",58,2.6,3,High,Low
E0066,Human Resources,L3,"Toronto, ON",38,3.2,3,Solid,High
E0067,Engineering,L1,"Toronto, ON",35,5.1,3,High,Medium
E0068,Customer Success,L3,"Montreal, QC",56,7.2,4,Developing,Medium
E0069,Finance,L2,"Vancouver, BC",30,4.8,2,Solid,Medium
E0070,Engineering,L3,"Vancouver, BC",41,1.0,2,High,Medium
E0071,Human Resources,L2,"Ottawa, ON",39,2.3,3,High,Medium
E0072,Sales,L3,"Vancouver, BC",25,2.3,3,Solid,Medium
E0073,Legal & Compliance,L3,"Toronto, ON",42,2.9,3,Developing,Medium
E0074,Human Resources,L4,"Calgary, AB",45,3.4,3,High,Low
E0075,Engineering,L2,"Toronto, ON",44,1.7,5,Developing,Medium
E0076,Engineering,L5,"Calgary, AB",53,1.3,4,High,Low
E0077,Engineering,L3,Remote - Canada,42,4.2,3,Solid,Medium
E0078,Operations,L2,"Montreal, QC",36,2.7,3,Solid,High
E0079,Engineering,L2,"Ottawa, ON",52,7.3,2,Solid,Medium
E0080,Customer Success,L4,"Vancouver, BC",34,4.2,3,Developing,Medium
E0081,Customer Success,L2,"Toronto, ON",31,5.2,4,Solid,High
E0082,Engineering,L3,"Toronto, ON",29,9.4,2,Solid,Medium
E0083,Engineering,L2,"Montreal, QC",48,6.2,2,High,Low
E0084,Customer Success,L2,"Toronto, ON",31,3.3,3,High,Medium
E0085,Sales,L2,"Toronto, ON",57,5.1,3,High,Medium
E0086,Finance,L5,"Montreal, QC",49,4.7,4,Solid,High
E0087,Sales,L6,"Vancouver, BC",32,5.4,3,High,Low
E0088,Operations,L4,"Calgary, AB",45,1.8,4,Solid,Medium
E0089,Engineering,L1,"Montreal, QC",49,4.2,3,High,Medium
E0090,Engineering,L3,"Vancouver, BC",45,2.9,3,Solid,Medium
E0091,Legal & Compliance,L3,"Toronto, ON",40,7.4,3,High,Medium
E0092,Engineering,L4,Remote - Canada,36,3.1,3,Developing,Low
E0093,Operations,L2,"Calgary, AB",25,7.7,2,Developing,Medium
E0094,Engineering,L2,"Toronto, ON",34,2.8,5,Solid,Medium
E0095,Operations,L3,"Ottawa, ON",36,3.0,5,Solid,High
E0096,Engineering,L3,"Vancouver, BC",56,5.3,3,High,Medium
E0097,Operations,L4,"Vancouver, BC",56,1.7,3,Solid,Medium
E0098,Sales,L1,"Toronto, ON",56,8.2,3,High,Medium
E0099,Engineering,L3,"Montreal, QC",48,4.4,3,Solid,Low
E0100,Customer Success,L3,"Vancouver, BC",37,6.5,4,Developing,Medium
E0101,Operations,L3,"Montreal, QC",52,2.9,3,High,Medium
E0102,Human Resources,L2,"Ottawa, ON",29,10.0,3,Developing,High
E0103,Operations,L3,"Montreal, QC",36,3.9,5,Solid,High
E0104,Engineering,L2,"Ottawa, ON",43,5.2,3,Solid,Medium
E0105,Operations,L3,"Vancouver, BC",30,4.6,3,Solid,Medium
E0106,Sales,L4,"Toronto, ON",38,4.0,3,High,High
E0107,Sales,L3,"Vancouver, BC",39,0.4,3,High,Medium
E0108,Legal & Compliance,L1,"Vancouver, BC",46,0.3,3,Developing,Medium
E0109,Finance,L2,"Calgary, AB",36,0.5,5,Developing,Medium
E0110,Customer Success,L2,"Vancouver, BC",23,5.1,3,Solid,High
E0111,Finance,L5,"Toronto, ON",34,5.7,3,High,Low
E0112,Finance,L1,"Calgary, AB",25,6.1,4,High,Low
E0113,Engineering,L2,"Calgary, AB",49,0.3,4,Solid,High
E0114,Operations,L2,"Toronto, ON",52,7.6,2,Solid,Medium
