EmployeeID,Skill,ProficiencyLevel,MonthsSinceLastUse,EvidenceType
E0001,Excel,2,29,Certification
E0001,Data Quality,3,48,Manager validation
E0001,Stakeholder Management,4,34,Self-assessment
E0001,Generative AI,2,34,Manager validation
E0001,Data Visualization,2,25,Self-assessment
E0001,Communication,3,16,Self-assessment
E0001,Power BI,1,3,Manager validation
E0002,Change Management,4,47,Self-assessment
E0002,Excel,2,35,Manager validation
E0002,Business Acumen,4,10,Self-assessment
E0002,Data Quality,3,44,Manager validation
E0002,Stakeholder Management,5,27,Self-assessment
E0002,Data Governance,4,15,Self-assessment
E0002,Communication,1,42,Project evidence
E0002,Data Storytelling,4,4,Project evidence
E0002,Project Management,2,45,Self-assessment
E0002,People Analytics,1,34,Manager validation
E0002,Workforce Planning,2,13,Manager validation
E0003,Excel,3,3,Certification
E0003,Business Acumen,2,46,Self-assessment
E0003,Performance Analytics,2,37,Self-assessment
E0003,Stakeholder Management,3,19,Self-assessment
E0003,Communication,1,16,Project evidence
E0003,Data Storytelling,2,12,Self-assessment
E0003,Power BI,2,35,Self-assessment
E0004,Change Management,4,40,Manager validation
E0004,Excel,1,34,Certification
E0004,Business Acumen,4,48,Self-assessment
E0004,Performance Analytics,1,13,Manager validation
E0004,Data Quality,2,11,Project evidence
E0004,Stakeholder Management,5,14,Manager validation
E0004,Data Storytelling,2,40,Manager validation
E0004,Project Management,2,39,Self-assessment
E0004,Data Modeling,1,48,Certification
E0004,Power Query,3,19,Manager validation
E0005,Change Management,4,37,Self-assessment
E0005,Excel,1,26,Self-assessment
E0005,Business Acumen,4,4,Manager validation
E0005,Power BI,2,24,Project evidence
E0005,Stakeholder Management,4,29,Manager validation
E0005,Data Visualization,2,33,Project evidence
E0005,Statistics,2,14,Manager validation
E0005,Data Storytelling,3,46,Self-assessment
E0005,Forecasting,2,36,Certification
E0005,Project Management,2,31,Project evidence
E0006,SQL,3,23,Manager validation
E0006,Excel,2,39,Self-assessment
E0006,Data Quality,2,11,Manager validation
E0006,NLP,2,44,Self-assessment
E0006,Stakeholder Management,1,31,Self-assessment
E0006,Machine Learning,4,18,Manager validation
E0006,Data Governance,1,37,Manager validation
E0006,Generative AI,5,38,Project evidence
E0006,Power BI,3,25,Certification
E0007,HR Data Management,1,35,Self-assessment
E0007,Business Acumen,1,34,Self-assessment
E0007,Power BI,3,8,Manager validation
E0007,Data Quality,3,47,Certification
E0007,HRIS,3,9,Manager validation
E0007,Recruiting Analytics,3,26,Self-assessment
E0007,Learning Analytics,2,19,Certification
E0007,People Analytics,1,33,Manager validation
E0007,Data Visualization,4,36,Manager validation
E0007,Statistics,1,26,Project evidence
E0007,Project Management,2,11,Self-assessment
E0007,Python,1,29,Manager validation
E0007,Power Query,2,41,Project evidence
E0008,Power BI,1,44,Manager validation
E0008,Performance Analytics,1,46,Self-assessment
E0008,Data Quality,3,12,Self-assessment
E0008,Stakeholder Management,3,4,Manager validation
E0008,Communication,1,36,Project evidence
E0008,Data Storytelling,1,10,Self-assessment
E0008,Project Management,1,3,Self-assessment
E0009,Excel,2,28,Project evidence
