EmployeeID,RoleID,RoleName,WeightedSkillReadiness,MandatorySkillCoverage,RoleReadinessScore,TotalSkillGap,CriticalGapCount,MissingSkillCount,Department,JobLevel,Location,TenureYears,PerformanceRating,PotentialCategory,MobilityInterest,ReadinessBand
E0001,R001,People Analytics Specialist,25.9,0.0,22.0,30.0,5.0,7.0,Marketing,L3,"Toronto, ON",2.4,3,High,Low,Significant Gap
E0001,R002,Senior People Analytics Analyst,11.7,16.7,12.4,43.0,5.0,10.0,Marketing,L3,"Toronto, ON",2.4,3,High,Low,Significant Gap
E0001,R003,Talent Intelligence Analyst,15.4,0.0,13.1,32.0,5.0,8.0,Marketing,L3,"Toronto, ON",2.4,3,High,Low,Significant Gap
E0001,R004,Workforce Planning Analyst,15.3,0.0,13.0,31.0,4.0,7.0,Marketing,L3,"Toronto, ON",2.4,3,High,Low,Significant Gap
E0001,R005,HR Data Analyst,24.6,0.0,20.9,20.0,4.0,5.0,Marketing,L3,"Toronto, ON",2.4,3,High,Low,Significant Gap
E0001,R006,People Analytics Manager,10.0,0.0,8.5,47.0,5.0,10.0,Marketing,L3,"Toronto, ON",2.4,3,High,Low,Significant Gap
E0001,R007,HRIS & People Data Specialist,17.0,0.0,14.5,30.0,5.0,7.0,Marketing,L3,"Toronto, ON",2.4,3,High,Low,Significant Gap
E0001,R008,Talent Management Analytics Specialist,20.1,0.0,17.1,28.0,4.0,7.0,Marketing,L3,"Toronto, ON",2.4,3,High,Low,Significant Gap
E0002,R001,People Analytics Specialist,31.2,20.0,29.6,28.0,4.0,7.0,Legal & Compliance,L6,"Calgary, AB",0.3,3,High,Low,Significant Gap
E0002,R002,Senior People Analytics Analyst,33.3,16.7,30.8,32.0,5.0,7.0,Legal & Compliance,L6,"Calgary, AB",0.3,3,High,Low,Significant Gap
E0002,R003,Talent Intelligence Analyst,15.4,0.0,13.1,33.0,5.0,9.0,Legal & Compliance,L6,"Calgary, AB",0.3,3,High,Low,Significant Gap
E0002,R004,Workforce Planning Analyst,34.2,0.0,29.0,23.0,4.0,5.0,Legal & Compliance,L6,"Calgary, AB",0.3,3,High,Low,Significant Gap
E0002,R005,HR Data Analyst,30.4,0.0,25.9,19.0,4.0,4.0,Legal & Compliance,L6,"Calgary, AB",0.3,3,High,Low,Significant Gap
