EmployeeID,RoleID,RoleName,Skill,RequiredProficiency,ImportanceWeight,Mandatory,ProficiencyLevel,MonthsSinceLastUse,SkillAttainment,SkillGap,WeightedAttainment,MeetsRequirement
E0001,R001,People Analytics Specialist,People Analytics,4,3,Yes,0.0,999.0,0.0,4.0,0.0,False
E0001,R001,People Analytics Specialist,Power BI,4,3,Yes,1.0,3.0,0.25,3.0,0.75,False
E0001,R001,People Analytics Specialist,DAX,3,2,No,0.0,999.0,0.0,3.0,0.0,False
E0001,R001,People Analytics Specialist,SQL,3,3,Yes,0.0,999.0,0.0,3.0,0.0,False
E0001,R001,People Analytics Specialist,Statistics,3,2,No,0.0,999.0,0.0,3.0,0.0,False
E0001,R001,People Analytics Specialist,Data Visualization,4,3,Yes,2.0,25.0,0.5,2.0,1.5,False
E0001,R001,People Analytics Specialist,Data Storytelling,4,3,Yes,0.0,999.0,0.0,4.0,0.0,False
E0001,R001,People Analytics Specialist,Stakeholder Management,3,2,No,4.0,34.0,1.0,0.0,2.0,True
E0001,R001,People Analytics Specialist,Data Quality,3,2,No,3.0,48.0,1.0,0.0,2.0,True
E0001,R001,People Analytics Specialist,Excel,4,2,No,2.0,29.0,0.5,2.0,1.0,False
E0001,R001,People Analytics Specialist,Turnover Analysis,3,2,No,0.0,999.0,0.0,3.0,0.0,False
E0001,R001,People Analytics Specialist,Employee Engagement,3,1,No,0.0,999.0,0.0,3.0,0.0,False
E0001,R002,Senior People Analytics Analyst,People Analytics,5,3,Yes,0.0,999.0,0.0,5.0,0.0,False
E0001,R002,Senior People Analytics Analyst,Power BI,4,2,No,1.0,3.0,0.25,3.0,0.5,False
E0001,R002,Senior People Analytics Analyst,DAX,4,2,No,0.0,999.0,0.0,4.0,0.0,False
E0001,R002,Senior People Analytics Analyst,SQL,4,3,Yes,0.0,999.0,0.0,4.0,0.0,False
E0001,R002,Senior People Analytics Analyst,Python,3,2,No,0.0,999.0,0.0,3.0,0.0,False
E0001,R002,Senior People Analytics Analyst,Statistics,4,3,Yes,0.0,999.0,0.0,4.0,0.0,False
E0001,R002,Senior People Analytics Analyst,Data Modeling,4,2,No,0.0,999.0,0.0,4.0,0.0,False
E0001,R002,Senior People Analytics Analyst,Data Storytelling,5,3,Yes,0.0,999.0,0.0,5.0,0.0,False
E0001,R002,Senior People Analytics Analyst,Stakeholder Management,4,3,Yes,4.0,34.0,1.0,0.0,3.0,True
E0001,R002,Senior People Analytics Analyst,Workforce Analytics,4,3,Yes,0.0,999.0,0.0,4.0,0.0,False
E0001,R002,Senior People Analytics Analyst,Data Governance,3,2,No,0.0,999.0,0.0,3.0,0.0,False
E0001,R002,Senior People Analytics Analyst,Business Acumen,4,2,No,0.0,999.0,0.0,4.0,0.0,False
E0001,R003,Talent Intelligence Analyst,Talent Intelligence,5,3,Yes,0.0,999.0,0.0,5.0,0.0,False
E0001,R003,Talent Intelligence Analyst,Skills Taxonomy,4,3,Yes,0.0,999.0,0.0,4.0,0.0,False
E0001,R003,Talent Intelligence Analyst,Skills Gap Analysis,4,3,Yes,0.0,999.0,0.0,4.0,0.0,False
E0001,R003,Talent Intelligence Analyst,Python,3,2,No,0.0,999.0,0.0,3.0,0.0,False
E0001,R003,Talent Intelligence Analyst,NLP,3,2,No,0.0,999.0,0.0,3.0,0.0,False
E0001,R003,Talent Intelligence Analyst,Generative AI,3,1,No,2.0,34.0,0.6666666666666666,1.0,0.6666666666666666,False
E0001,R003,Talent Intelligence Analyst,Talent Analytics,4,3,Yes,0.0,999.0,0.0,4.0,0.0,False
E0001,R003,Talent Intelligence Analyst,Internal Mobility,4,3,Yes,0.0,999.0,0.0,4.0,0.0,False
E0001,R003,Talent Intelligence Analyst,Data Visualization,3,2,No,2.0,25.0,0.6666666666666666,1.0,1.3333333333333333,False
E0001,R003,Talent Intelligence Analyst,Stakeholder Management,3,2,No,4.0,34.0,1.0,0.0,2.0,True
E0001,R003,Talent Intelligence Analyst,Data Storytelling,3,2,No,0.0,999.0,0.0,3.0,0.0,False
E0001,R004,Workforce Planning Analyst,Workforce Planning,5,3,Yes,0.0,999.0,0.0,5.0,0.0,False
E0001,R004,Workforce Planning Analyst,Forecasting,4,3,Yes,0.0,999.0,0.0,4.0,0.0,False
E0001,R004,Workforce Planning Analyst,Scenario Modeling,4,3,Yes,0.0,999.0,0.0,4.0,0.0,False
E0001,R004,Workforce Planning Analyst,Excel,4,2,No,2.0,29.0,0.5,2.0,1.0,False
E0001,R004,Workforce Planning Analyst,Power BI,3,2,No,1.0,3.0,0.3333333333333333,2.0,0.6666666666666666,False
E0001,R004,Workforce Planning Analyst,Statistics,3,2,No,0.0,999.0,0.0,3.0,0.0,False
E0001,R004,Workforce Planning Analyst,Workforce Analytics,4,3,Yes,0.0,999.0,0.0,4.0,0.0,False
