Skill,RolesRequiringSkill,AvgRequiredProficiency,AvgImportanceWeight,MandatoryCount
Stakeholder Management,7,3.7142857142857144,2.142857142857143,2
People Analytics,6,3.6666666666666665,2.3333333333333335,3
Power BI,6,3.5,2.1666666666666665,1
SQL,5,3.4,2.8,4
Data Storytelling,5,4.0,2.6,3
Data Governance,4,3.5,2.25,1
Workforce Analytics,3,4.333333333333333,3.0,3
Data Quality,3,3.6666666666666665,2.6666666666666665,2
Talent Analytics,3,4.0,2.6666666666666665,2
Business Acumen,3,4.333333333333333,2.3333333333333335,1
Data Visualization,3,3.3333333333333335,2.3333333333333335,1
Statistics,3,3.3333333333333335,2.3333333333333335,1
Excel,3,4.0,2.0,0
HR Data Management,2,4.5,3.0,2
HRIS,2,4.0,3.0,2
Internal Mobility,2,4.0,3.0,2
Workforce Planning,2,4.5,2.5,1
DAX,2,3.5,2.0,0
Data Modeling,2,3.5,2.0,0
Python,2,3.0,2.0,0
Communication,2,3.5,1.5,0
Project Management,2,3.5,1.5,0
Forecasting,1,4.0,3.0,1
Scenario Modeling,1,4.0,3.0,1
Skills Gap Analysis,1,4.0,3.0,1
Skills Taxonomy,1,4.0,3.0,1
Succession Planning,1,4.0,3.0,1
Talent Intelligence,1,5.0,3.0,1
Talent Management,1,5.0,3.0,1
Change Management,1,4.0,2.0,0
Learning Analytics,1,3.0,2.0,0
NLP,1,3.0,2.0,0
Performance Analytics,1,3.0,2.0,0
Turnover Analysis,1,3.0,2.0,0
Employee Engagement,1,3.0,1.0,0
Generative AI,1,3.0,1.0,0
