RoleID,RoleName,Skill,CandidateGapOccurrences,AvgGap,RequiredProficiency,ImportanceWeight,PriorityIndex
R001,People Analytics Specialist,Data Visualization,10,2.7,4,3,81.0
R001,People Analytics Specialist,Turnover Analysis,10,3.0,3,2,60.0
R001,People Analytics Specialist,DAX,10,2.6,3,2,52.0
R001,People Analytics Specialist,Power BI,8,2.125,4,3,51.0
R001,People Analytics Specialist,Excel,10,2.1,4,2,42.0
R001,People Analytics Specialist,People Analytics,6,2.1666666666666665,4,3,39.0
R001,People Analytics Specialist,Data Quality,7,2.7142857142857144,3,2,38.0
R001,People Analytics Specialist,SQL,5,2.2,3,3,33.0
R001,People Analytics Specialist,Statistics,6,2.0,3,2,24.0
R001,People Analytics Specialist,Employee Engagement,7,3.0,3,1,21.0
R001,People Analytics Specialist,Data Storytelling,2,2.5,4,3,15.0
R001,People Analytics Specialist,Stakeholder Management,2,1.0,3,2,4.0
R002,Senior People Analytics Analyst,Workforce Analytics,10,4.0,4,3,120.0
R002,Senior People Analytics Analyst,People Analytics,9,3.7777777777777777,5,3,102.0
R002,Senior People Analytics Analyst,Statistics,10,3.2,4,3,96.0
R002,Senior People Analytics Analyst,DAX,10,3.3,4,2,66.0
R002,Senior People Analytics Analyst,Power BI,9,3.4444444444444446,4,2,62.0
R002,Senior People Analytics Analyst,SQL,5,2.6,4,3,39.0
R002,Senior People Analytics Analyst,Data Storytelling,8,1.25,5,3,30.0
R002,Senior People Analytics Analyst,Data Modeling,6,2.0,4,2,24.0
R002,Senior People Analytics Analyst,Data Governance,5,1.8,3,2,18.0
R002,Senior People Analytics Analyst,Python,4,2.25,3,2,18.0
R002,Senior People Analytics Analyst,Business Acumen,6,1.0,4,2,12.0
R002,Senior People Analytics Analyst,Stakeholder Management,1,1.0,4,3,3.0
R003,Talent Intelligence Analyst,Talent Intelligence,10,4.3,5,3,129.0
R003,Talent Intelligence Analyst,Skills Taxonomy,10,4.0,4,3,120.0
R003,Talent Intelligence Analyst,Skills Gap Analysis,9,3.6666666666666665,4,3,99.0
R003,Talent Intelligence Analyst,Internal Mobility,10,3.2,4,3,96.0
R003,Talent Intelligence Analyst,Talent Analytics,9,3.3333333333333335,4,3,90.0
R003,Talent Intelligence Analyst,Data Visualization,10,2.2,3,2,44.0
R003,Talent Intelligence Analyst,NLP,4,3.0,3,2,24.0
R003,Talent Intelligence Analyst,Python,4,2.5,3,2,20.0
R003,Talent Intelligence Analyst,Generative AI,5,2.2,3,1,11.0
R003,Talent Intelligence Analyst,Data Storytelling,2,2.5,3,2,10.0
