Skill,CandidateGapOccurrences,AvgGap,MaxImportance,RolesAffected,PriorityIndex
Workforce Analytics,30,4.333333333333333,3,3,390.0
People Analytics,40,2.9,3,6,348.0
Power BI,44,2.590909090909091,3,6,342.0
Data Governance,35,2.6,3,4,273.0
Talent Analytics,25,3.12,3,3,234.0
Workforce Planning,18,3.7222222222222223,3,2,201.0
Internal Mobility,20,3.25,3,2,195.0
Data Visualization,27,2.2962962962962963,3,3,186.0
HR Data Management,14,4.357142857142857,3,2,182.99999999999997
Data Quality,26,2.3076923076923075,3,3,179.99999999999997
Statistics,24,2.3333333333333335,3,3,168.0
SQL,25,2.08,3,5,156.0
HRIS,12,4.0,3,2,144.0
Excel,30,2.3333333333333335,2,3,140.0
Talent Intelligence,10,4.3,3,1,129.0
Succession Planning,10,4.0,3,1,120.0
Skills Taxonomy,10,4.0,3,1,120.0
DAX,20,2.95,2,2,118.0
Skills Gap Analysis,9,3.6666666666666665,3,1,99.0
Stakeholder Management,22,1.4090909090909092,3,7,93.0
Talent Management,9,2.888888888888889,3,1,78.0
Data Storytelling,17,1.4705882352941178,3,5,75.0
Project Management,16,2.3125,2,2,74.0
Communication,17,2.0588235294117645,2,2,70.0
Forecasting,10,2.1,3,1,63.0
Turnover Analysis,10,3.0,2,1,60.0
Business Acumen,16,1.1875,3,3,57.0
Learning Analytics,9,2.888888888888889,2,1,52.0
Scenario Modeling,8,1.875,3,1,45.0
Python,8,2.375,2,2,38.0
Data Modeling,9,1.8888888888888888,2,2,34.0
NLP,4,3.0,2,1,24.0
Employee Engagement,7,3.0,1,1,21.0
Performance Analytics,4,2.0,2,1,16.0
Generative AI,5,2.2,1,1,11.0
