Skill,EmployeesWithSkill,AvgProficiency,AvgMonthsSinceLastUse
Business Acumen,442,2.665158371040724,24.615384615384617
Excel,430,2.088372093023256,25.718604651162792
Stakeholder Management,407,2.72972972972973,25.56019656019656
Project Management,345,2.0057971014492755,25.66376811594203
Data Quality,328,2.082317073170732,25.103658536585368
Communication,324,2.0555555555555554,26.76851851851852
Power BI,306,2.0915032679738563,26.15359477124183
Data Storytelling,303,2.9702970297029703,25.323432343234323
SQL,173,2.8901734104046244,25.196531791907514
Change Management,172,3.7325581395348837,23.976744186046513
Statistics,149,2.0067114093959733,24.78523489932886
Python,148,3.0945945945945947,25.155405405405407
Data Modeling,141,2.9645390070921986,29.078014184397162
Data Governance,140,2.092857142857143,26.15714285714286
Generative AI,131,3.0763358778625953,26.374045801526716
NLP,115,3.1913043478260867,25.36521739130435
Machine Learning,112,3.544642857142857,23.366071428571427
Performance Analytics,109,2.3577981651376145,26.73394495412844
Scenario Modeling,101,2.128712871287129,24.455445544554454
Forecasting,95,2.0631578947368423,25.33684210526316
Data Visualization,93,2.118279569892473,25.419354838709676
Employee Engagement,89,2.3707865168539324,24.134831460674157
Workforce Planning,81,2.4814814814814814,25.617283950617285
People Analytics,69,2.5217391304347827,27.652173913043477
Power Query,53,1.9245283018867925,25.830188679245282
DAX,48,2.1458333333333335,25.1875
Internal Mobility,43,2.1627906976744184,25.86046511627907
Talent Intelligence,43,2.116279069767442,25.488372093023255
HR Data Management,40,3.125,28.3
Recruiting Analytics,40,3.075,26.025
Skills Gap Analysis,40,2.0,29.5
HRIS,39,3.0,24.666666666666668
Talent Analytics,37,2.7567567567567566,26.324324324324323
Talent Management,36,3.0277777777777777,25.63888888888889
Learning Analytics,28,1.9642857142857142,25.392857142857142
