EmployeeID,RoleID,RoleName,WeightedSkillReadiness,MandatorySkillCoverage,RoleReadinessScore,TotalSkillGap,CriticalGapCount,MissingSkillCount,Department,JobLevel,Location,TenureYears,PerformanceRating,PotentialCategory,MobilityInterest,ReadinessBand
E0348,R001,People Analytics Specialist,63.4,40.0,59.9,15.0,3.0,3.0,Human Resources,L4,"Toronto, ON",7.9,3,Solid,Medium,Developing
E0057,R001,People Analytics Specialist,58.3,20.0,52.6,17.0,4.0,3.0,Human Resources,L4,"Vancouver, BC",1.2,4,Developing,Medium,Significant Gap
E0051,R001,People Analytics Specialist,50.0,60.0,51.5,21.0,2.0,6.0,Human Resources,L5,"Calgary, AB",3.2,4,High,Medium,Significant Gap
E0146,R001,People Analytics Specialist,51.8,40.0,50.0,22.0,3.0,5.0,Human Resources,L2,"Toronto, ON",3.1,2,High,Low,Significant Gap
E0488,R001,People Analytics Specialist,51.8,40.0,50.0,21.0,3.0,5.0,Human Resources,L4,"Toronto, ON",5.0,3,Solid,High,Significant Gap
E0547,R001,People Analytics Specialist,55.1,20.0,49.8,17.0,4.0,3.0,Human Resources,L4,"Vancouver, BC",7.0,2,High,Medium,Significant Gap
E0562,R001,People Analytics Specialist,50.0,40.0,48.5,21.0,3.0,5.0,Human Resources,L4,"Calgary, AB",5.1,3,Developing,Medium,Significant Gap
E0434,R001,People Analytics Specialist,51.2,20.0,46.5,21.0,4.0,5.0,Human Resources,L1,"Ottawa, ON",3.4,3,High,Medium,Significant Gap
E0242,R001,People Analytics Specialist,42.9,60.0,45.4,25.0,2.0,7.0,Human Resources,L4,"Vancouver, BC",1.3,4,Developing,Medium,Significant Gap
E0207,R001,People Analytics Specialist,45.8,40.0,45.0,24.0,3.0,6.0,Engineering,L5,"Montreal, QC",5.8,4,High,Medium,Significant Gap
E0051,R002,Senior People Analytics Analyst,53.8,33.3,50.8,22.0,4.0,5.0,Human Resources,L5,"Calgary, AB",3.2,4,High,Medium,Significant Gap
E0388,R002,Senior People Analytics Analyst,56.8,16.7,50.8,20.0,5.0,3.0,Engineering,L4,"Montreal, QC",8.7,5,Solid,Medium,Significant Gap
E0428,R002,Senior People Analytics Analyst,50.6,50.0,50.5,24.0,3.0,5.0,Engineering,L5,"Toronto, ON",7.1,4,Developing,High,Significant Gap
E0495,R002,Senior People Analytics Analyst,52.4,33.3,49.6,23.0,4.0,5.0,Engineering,L4,"Toronto, ON",7.3,2,Developing,Medium,Significant Gap
E0471,R002,Senior People Analytics Analyst,52.1,33.3,49.3,23.0,4.0,4.0,Engineering,L6,"Montreal, QC",3.8,3,Solid,Medium,Significant Gap
E0185,R002,Senior People Analytics Analyst,51.3,33.3,48.6,24.0,4.0,5.0,Engineering,L4,"Vancouver, BC",2.2,4,High,High,Significant Gap
E0137,R002,Senior People Analytics Analyst,52.8,16.7,47.4,23.0,5.0,4.0,Engineering,L5,"Montreal, QC",0.3,3,Developing,High,Significant Gap
E0207,R002,Senior People Analytics Analyst,49.3,33.3,46.9,24.0,4.0,4.0,Engineering,L5,"Montreal, QC",5.8,4,High,Medium,Significant Gap
E0422,R002,Senior People Analytics Analyst,51.0,16.7,45.8,23.0,5.0,5.0,Engineering,L4,"Montreal, QC",2.6,2,Solid,High,Significant Gap
E0057,R002,Senior People Analytics Analyst,50.1,16.7,45.1,24.0,5.0,4.0,Human Resources,L4,"Vancouver, BC",1.2,4,Developing,Medium,Significant Gap
E0043,R003,Talent Intelligence Analyst,51.9,20.0,47.1,18.0,4.0,4.0,Engineering,L5,"Vancouver, BC",6.6,3,Solid,Medium,Significant Gap
E0060,R003,Talent Intelligence Analyst,46.2,0.0,39.2,20.0,5.0,4.0,Engineering,L4,"Montreal, QC",2.9,3,Developing,Medium,Significant Gap
E0430,R003,Talent Intelligence Analyst,32.1,20.0,30.2,27.0,4.0,7.0,Human Resources,L3,Remote - Canada,0.3,5,Solid,Low,Significant Gap
E0161,R003,Talent Intelligence Analyst,34.6,0.0,29.4,24.0,5.0,6.0,Engineering,L5,"Toronto, ON",5.5,3,Solid,Medium,Significant Gap
E0401,R003,Talent Intelligence Analyst,34.6,0.0,29.4,24.0,5.0,6.0,Engineering,L6,"Toronto, ON",5.3,3,Developing,High,Significant Gap
E0485,R003,Talent Intelligence Analyst,34.6,0.0,29.4,24.0,5.0,6.0,Engineering,L4,"Vancouver, BC",1.0,4,Solid,Medium,Significant Gap
E0057,R003,Talent Intelligence Analyst,34.3,0.0,29.2,26.0,5.0,6.0,Human Resources,L4,"Vancouver, BC",1.2,4,Developing,Medium,Significant Gap
E0178,R003,Talent Intelligence Analyst,33.8,0.0,28.7,26.0,5.0,6.0,Human Resources,L2,"Montreal, QC",1.6,5,High,High,Significant Gap
E0543,R003,Talent Intelligence Analyst,33.5,0.0,28.5,25.0,5.0,5.0,Marketing,L2,Remote - Canada,6.6,4,Solid,Medium,Significant Gap
E0268,R003,Talent Intelligence Analyst,33.5,0.0,28.4,25.0,5.0,5.0,Engineering,L1,Remote - Canada,0.3,2,High,Medium,Significant Gap
E0111,R004,Workforce Planning Analyst,67.0,25.0,60.7,12.0,3.0,2.0,Finance,L5,"Toronto, ON",5.7,3,High,Low,Developing
E0552,R004,Workforce Planning Analyst,61.8,0.0,52.5,14.0,4.0,2.0,Finance,L5,"Toronto, ON",6.2,4,Solid,Medium,Significant Gap
E0189,R004,Workforce Planning Analyst,50.3,25.0,46.5,18.0,3.0,3.0,Operations,L4,"Toronto, ON",3.1,5,High,High,Significant Gap
E0086,R004,Workforce Planning Analyst,53.3,0.0,45.3,17.0,4.0,2.0,Finance,L5,"Montreal, QC",4.7,4,Solid,High,Significant Gap
E0488,R004,Workforce Planning Analyst,53.1,0.0,45.1,16.0,4.0,3.0,Human Resources,L4,"Toronto, ON",5.0,3,Solid,High,Significant Gap
E0373,R004,Workforce Planning Analyst,51.4,0.0,43.7,18.0,4.0,3.0,Finance,L5,"Toronto, ON",6.7,4,Developing,Low,Significant Gap
E0051,R004,Workforce Planning Analyst,51.3,0.0,43.6,17.0,4.0,3.0,Human Resources,L5,"Calgary, AB",3.2,4,High,Medium,Significant Gap
E0115,R004,Workforce Planning Analyst,51.0,0.0,43.4,18.0,4.0,3.0,Finance,L4,Remote - Canada,4.1,4,High,High,Significant Gap
